iter	Logloss
157	0.4221809672
158	0.422096235
159	0.4219871301
160	0.4218900416
161	0.4217620837
162	0.4216819923
163	0.4215618623
164	0.4214649874
165	0.4213319513
166	0.421188006
167	0.4210659613
168	0.4209549633
169	0.420791453
170	0.4207190523
171	0.4206408777
172	0.4205863471
173	0.4205168025
174	0.4204506377
175	0.4203652812
176	0.420227305
177	0.4200357833
178	0.419936811
179	0.4198323555
180	0.4196963562
181	0.4196228239
182	0.4195227723
183	0.4194574945
184	0.4193386652
185	0.4192584894
186	0.4191473034
187	0.4190678594
188	0.418979
189	0.4188564292
190	0.4187896012
191	0.4187001343
192	0.4185999142
193	0.4185255708
194	0.418401527
195	0.4182995449
196	0.4182444415
197	0.4181372432
198	0.4180378638
199	0.417925596
200	0.4178352514
201	0.4177812388
202	0.4176714085
203	0.4175893569
204	0.4174903967
205	0.4173516246
206	0.4172869746
207	0.4172169236
208	0.4171395373
209	0.4170290738
210	0.4169547753
211	0.4168585148
212	0.4167727667
213	0.416699739
214	0.4166002634
215	0.416512141
216	0.4164150411
217	0.4163574434
218	0.4162362749
219	0.4161498451
220	0.4160702154
221	0.416001781
222	0.4159300697
223	0.4157955799
224	0.4156833595
225	0.4155965002
226	0.4155091949
227	0.4154389454
228	0.4153363798
229	0.4152470903
230	0.4151248878
231	0.4150163539
232	0.4149143395
233	0.4148122983
234	0.414731435
235	0.4146311046
236	0.4145343919
237	0.4144707962
238	0.414407804
239	0.4143060519
240	0.4142389833
241	0.4141360342
242	0.4140339744
243	0.4139842621
244	0.4139066847
245	0.4138274049
246	0.4138035686
247	0.413728015
248	0.4136868889
249	0.4136156983
250	0.4135449724
251	0.4134542498
252	0.4133835656
253	0.4127570648
254	0.4126201572
255	0.4125221613
256	0.412434004
257	0.412363035
258	0.4122587233
259	0.4121775746
260	0.4120997335
261	0.4119986777
262	0.4119324193
263	0.4118424074
264	0.4116982934
265	0.4115407427
266	0.4114153024
267	0.4113204125
268	0.4112317058
269	0.4111415046
270	0.4110688919
271	0.410989564
272	0.4109058273
273	0.4108270397
274	0.410728371
275	0.4106274061
276	0.410537308
277	0.4104972279
278	0.4104102235
279	0.4103178369
280	0.4102175808
281	0.4101000005
282	0.4100188103
283	0.4099177998
284	0.4098537793
285	0.4097922178
286	0.4097030098
287	0.4096005501
288	0.409514391
289	0.4094401834
290	0.4093777346
291	0.4093089558
292	0.4092126734
293	0.4091481645
294	0.4090395018
295	0.4089720357
296	0.4088866029
297	0.408820434
298	0.4087556882
299	0.4086688793
300	0.4085943029
301	0.4085448506
302	0.4084337341
303	0.4083704969
304	0.4083081679
305	0.4082562785
306	0.4082026175
307	0.4081278059
308	0.4080705082
309	0.4080121074
310	0.4079231353
311	0.4078013159
312	0.4077314532
313	0.407640386
314	0.4075375701
315	0.407466665
316	0.4074063107
317	0.4073054545
318	0.4072200074
319	0.4071425311
320	0.4070180674
321	0.4069084162
322	0.4067927882
323	0.4067141259
324	0.4066509543
325	0.4065756465
326	0.4065023187
327	0.406450063
328	0.4063645313
329	0.4063208154
330	0.4062422468
331	0.4061682408
332	0.406136934
333	0.4060710672
334	0.4060042281
335	0.4059507037
336	0.4059071331
337	0.4058417587
338	0.4057689664
339	0.4057268577
340	0.4056842815
341	0.4056045612
342	0.4055033445
343	0.4054215397
344	0.4053229079
345	0.4052634764
346	0.4052235101
347	0.4051667271
348	0.4051222061
349	0.405070747
350	0.4050201035
351	0.4049391761
352	0.404849997
353	0.4047878477
354	0.4047169287
355	0.4046382557
356	0.4045877003
357	0.4045047913
358	0.4044145686
359	0.4043621238
360	0.4042641126
361	0.4041794193
362	0.4041209467
363	0.4040320532
364	0.4039738995
365	0.4038806992
366	0.4038320345
367	0.4037442171
368	0.403686183
369	0.4036257372
370	0.4035458843
371	0.4034654901
372	0.4034070588
373	0.4033352325
374	0.4032637143
375	0.4031521908
376	0.4030744967
377	0.403013113
378	0.4029409451
379	0.4028578475
380	0.4028040105
381	0.4027247822
382	0.4026738284
383	0.4026163597
384	0.4024857559
385	0.4023973555
386	0.4023482838
387	0.4022705219
388	0.4021583358
389	0.4021251385
390	0.4020166587
391	0.4019681875
392	0.4018806421
393	0.401795091
394	0.4017211105
395	0.4016527227
396	0.4015886326
397	0.401526779
398	0.4015012805
399	0.4014480057
400	0.4013657765
401	0.4012935751
402	0.4012142717
403	0.4011168926
404	0.4010223631
405	0.4009375578
406	0.4008521418
407	0.4007881382
408	0.4006978106
409	0.4006434429
410	0.4006025128
411	0.4005274701
412	0.4004503587
413	0.4003769643
414	0.4003265431
415	0.400267341
416	0.4001918791
417	0.4000846039
418	0.3999662046
419	0.3999071128
420	0.3998106757
421	0.3997570786
422	0.3997111582
423	0.3996633352
424	0.3996053882
425	0.3995330773
426	0.3994642491
427	0.399392182
428	0.3993068703
429	0.399227553
430	0.399124861
431	0.399061244
432	0.398998437
433	0.3989312168
434	0.3988639828
435	0.3988035165
436	0.3987322503
437	0.3986547336
438	0.3985746035
439	0.3985211191
440	0.3984531119
441	0.3983795129
442	0.3983247282
443	0.3982374619
444	0.3981795651
445	0.3980839924
446	0.3979844227
447	0.3979338901
448	0.39787639
449	0.3977724848
450	0.3977138728
451	0.3976617592
452	0.3975366984
453	0.3974836287
454	0.397393737
455	0.3973135761
456	0.3972678102
457	0.3971863469
458	0.397114544
459	0.3970175857
460	0.3969696446
461	0.3969041393
462	0.396834258
463	0.3967387721
464	0.3966637144
465	0.3966050994
466	0.3965283082
467	0.3964591619
468	0.3963957905
469	0.3963109262
470	0.3962520312
471	0.3961799011
472	0.3961086544
473	0.396062053
474	0.3959865867
475	0.395922347
476	0.3957830428
477	0.3957372634
478	0.3956764121
479	0.3956348227
480	0.3955594632
481	0.3955037895
482	0.3954554858
483	0.395358713
484	0.3953075288
485	0.3952497232
486	0.3951443559
487	0.3950493287
488	0.3949978892
489	0.3949121362
490	0.3948359313
491	0.3947373269
492	0.3946440379
493	0.3945753636
494	0.3944871194
495	0.3944377018
496	0.394331634
497	0.3942667529
498	0.3941958747
499	0.3941030267
500	0.3940239443
501	0.3939421031
502	0.3938821437
503	0.3938439017
504	0.3937466263
505	0.3936531388
506	0.3935840065
507	0.3935333189
508	0.3934474225
509	0.3933712452
510	0.3933104183
511	0.3931994772
512	0.3931287171
513	0.3930676548
514	0.393014339
515	0.3929352387
516	0.3928539041
517	0.3927782672
518	0.3927201046
519	0.3926528228
520	0.3925839773
521	0.3925352417
522	0.3925017218
523	0.3924532629
524	0.3923628036
525	0.3922427558
526	0.3921659022
527	0.392094574
528	0.3920190608
529	0.3919359514
530	0.3918473828
531	0.3917578075
532	0.3916861959
533	0.3916196138
534	0.3915599587
535	0.3914582278
536	0.3913993278
537	0.3913513847
538	0.3912878198
539	0.3912158201
540	0.391155174
541	0.3910801763
542	0.3909926316
543	0.3909251897
544	0.3908024098
545	0.3907062084
546	0.3906345858
547	0.3905681997
548	0.3905008424
549	0.3904457065
550	0.3903753376
551	0.3902911756
552	0.3902366185
553	0.390160762
554	0.3901138851
555	0.3900671542
556	0.3899935104
557	0.3899182712
558	0.389834108
559	0.3897720546
560	0.3896861013
561	0.3896168894
562	0.3895462084
563	0.3894353394
564	0.3893580446
565	0.3892908185
566	0.3892067177
567	0.3891216592
568	0.3890542343
569	0.3890110179
570	0.3889348578
571	0.388866466
572	0.3888009298
573	0.3887213008
574	0.3886724973
575	0.3886123904
576	0.3885581725
577	0.3885038634
578	0.3884478293
579	0.3883969217
580	0.3883439676
581	0.388242048
582	0.3881903556
583	0.3881251889
584	0.3880676383
585	0.3880176555
586	0.3879715361
587	0.3878845835
588	0.3877837282
589	0.3877333009
590	0.387668294
591	0.3876290625
592	0.3875703458
593	0.3875127373
594	0.3874484769
595	0.3873815921
596	0.3872913003
597	0.387221617
598	0.3871599748
599	0.3870821098
600	0.3870109963
601	0.3869529572
602	0.3869048078
603	0.3868379564
604	0.3867636568
605	0.3867121723
606	0.3866434193
607	0.3865822766
608	0.3865420618
609	0.386458268
610	0.3863718181
611	0.3863084918
612	0.3862463872
613	0.3861775
614	0.3861114566
615	0.3860682622
616	0.3860247625
617	0.3859702477
618	0.3859157446
619	0.3858277379
620	0.3857427624
621	0.385705297
622	0.3856578748
623	0.3856137112
624	0.3855567142
625	0.3854880825
626	0.3854217857
627	0.3853621806
628	0.3852852744
629	0.3852194423
630	0.3851206735
631	0.3850902918
632	0.3849860112
633	0.3849238489
634	0.3848652163
635	0.3848090528
636	0.3847607089
637	0.3846946448
638	0.3846380155
639	0.3845853961
640	0.3845383258
641	0.3844975955
642	0.3844324102
643	0.3843694794
644	0.3843149616
645	0.3842343093
646	0.3841846612
647	0.3841078987
648	0.3840287355
649	0.3839989281
650	0.3839464494
651	0.3838909012
652	0.3838001716
653	0.3837207425
654	0.383653235
655	0.3836101262
656	0.3835401273
657	0.3834798576
658	0.3833863636
659	0.3833184802
660	0.383222147
661	0.3831881263
662	0.3831106897
663	0.3830537673
664	0.3829586141
665	0.3828939312
666	0.3828128249
667	0.3827554033
668	0.3827045672
669	0.3826284763
670	0.3825709107
671	0.3825176022
672	0.3824814839
673	0.3824142263
674	0.3823318211
675	0.3822784053
676	0.3822003616
677	0.3821498544
678	0.3820779621
679	0.3820174363
680	0.3819620578
681	0.381913245
682	0.3818497023
683	0.3817840952
684	0.3817287604
685	0.3816688571
686	0.3816123172
687	0.3815467463
688	0.3814559632
689	0.38141237
690	0.3813624637
691	0.3812997459
692	0.3812304346
693	0.3811904248
694	0.3811312412
695	0.3810648019
696	0.3810187684
697	0.3809621736
698	0.3808603455
699	0.3807382571
700	0.3806755775
701	0.3806283817
702	0.3805791628
703	0.3804997574
704	0.3804424095
705	0.3803936509
706	0.3803380423
707	0.3802887297
708	0.3802386257
709	0.3801845201
710	0.3801036328
711	0.3800263205
712	0.3799431283
713	0.379873861
714	0.3797975
715	0.3797613135
716	0.3797363606
717	0.3796673124
718	0.3796199289
719	0.3795648587
720	0.3795063679
721	0.3794427733
722	0.3793750056
723	0.3793141192
724	0.3792523159
725	0.3791960271
726	0.3791145275
727	0.3790350979
728	0.3789770262
729	0.3789258225
730	0.3788898783
731	0.3788295315
732	0.3787642686
733	0.3787036153
734	0.3786514089
735	0.3785955321
736	0.3785410832
737	0.3784999946
738	0.3784414352
739	0.3783439753
740	0.3782818257
741	0.3782416926
742	0.3781911813
743	0.3781395635
744	0.3780891757
745	0.378039419
746	0.3780026509
747	0.3779640644
748	0.3778974169
749	0.3778610367
750	0.3778009126
751	0.377761606
752	0.3776888865
753	0.3776170605
754	0.3775661646
755	0.3774995847
756	0.3774440347
757	0.3773809395
758	0.3773057889
759	0.3772111529
760	0.3771427952
761	0.3770847695
762	0.3770373926
763	0.3769920053
764	0.3768953128
765	0.3768368264
766	0.3767759418
767	0.3767094832
768	0.3766083273
769	0.3765380389
770	0.376446065
771	0.3763990806
772	0.3763604135
773	0.3763068262
774	0.3762498826
775	0.3761489047
776	0.3760720781
777	0.3760133626
778	0.375963154
779	0.3759319779
780	0.3758867978
781	0.3758148727
782	0.3757179279
783	0.3756747669
784	0.3756227556
785	0.3755566726
786	0.3754855054
787	0.375430738
788	0.3753814043
789	0.3753298646
790	0.3752849481
791	0.3752580656
792	0.3751905339
793	0.3751394126
794	0.3750932917
795	0.3750489217
796	0.3750069436
797	0.3749718743
798	0.3749193832
799	0.3748883026
800	0.3748275768
801	0.3747699265
802	0.374720378
803	0.3746680113
804	0.3746241327
805	0.374585418
806	0.374535641
807	0.3744469393
808	0.3743871065
809	0.37433774
810	0.3742941682
811	0.3742519851
812	0.3741915291
813	0.3741335352
814	0.3740803433
815	0.3739939769
816	0.3739146915
817	0.3738721265
818	0.3738108225
819	0.3737646343
820	0.3736818105
821	0.3736366683
822	0.373588261
823	0.3735541577
824	0.3735113121
825	0.3734466264
826	0.3734071264
827	0.3733446753
828	0.3733113167
829	0.3732606014
830	0.3732091872
831	0.3730721199
832	0.3730352504
833	0.3729802504
834	0.3729180481
835	0.3728773364
836	0.3728053983
837	0.372759378
838	0.3727149413
839	0.3726639927
840	0.3725864384
841	0.3725340418
842	0.3724855282
843	0.3724412216
844	0.3723967128
845	0.3723362759
846	0.3722958887
847	0.3722402891
848	0.3721816189
849	0.3720748339
850	0.3720209287
851	0.3719676738
852	0.3718834598
853	0.3718344003
854	0.3717764932
855	0.3717407125
856	0.3716977255
857	0.3716285639
858	0.371589406
859	0.3715441384
860	0.3714998624
861	0.3714534117
862	0.3714001817
863	0.3713690824
864	0.3713246005
865	0.3713077864
866	0.3712748334
867	0.3712231479
868	0.3711737974
869	0.3711043973
870	0.3710121664
871	0.3709776107
872	0.3709282242
873	0.3708738209
874	0.3708251992
875	0.3707722121
876	0.3707065654
877	0.3706355183
878	0.3705723989
879	0.3704979214
880	0.3704369684
881	0.3703837628
882	0.3703344717
883	0.3702783749
884	0.3702302049
885	0.3701628987
886	0.370125391
887	0.370076178
888	0.3700197056
889	0.3699448775
890	0.3698959753
891	0.3698297205
892	0.3697749799
893	0.3697374132
894	0.3696733927
895	0.3696121804
896	0.3695744505
897	0.3695271553
898	0.369474538
899	0.3694346766
900	0.3693745157
901	0.3693094034
902	0.3692716672
903	0.369219873
904	0.3691633747
905	0.3691048296
906	0.3690647649
907	0.3690039574
908	0.3689588357
909	0.3689108238
910	0.3688810381
911	0.3688273674
912	0.3687807248
913	0.368705305
914	0.368623564
915	0.3685551924
916	0.3685130323
917	0.3684396525
918	0.3683864556
919	0.368354217
920	0.3683032495
921	0.3682877978
922	0.3682346164
923	0.3681675956
924	0.3681293978
925	0.3680809062
926	0.3680333963
927	0.3679957141
928	0.3679539043
929	0.3679045387
930	0.367847412
931	0.36779143
932	0.3677177008
933	0.3676643511
934	0.3675902361
935	0.3675422141
936	0.3674789975
937	0.3674322664
938	0.3673929637
939	0.3673479563
940	0.3672820015
941	0.3672255499
942	0.3671683305
943	0.3671213645
944	0.3670855834
945	0.3670320611
946	0.3669868336
947	0.3669362467
948	0.3668562197
949	0.3668069157
950	0.3667475113
951	0.3667160759
952	0.3666585161
953	0.3666193958
954	0.3665482998
955	0.3664734644
956	0.3664221763
957	0.3663395564
958	0.3662760877
959	0.366240108
960	0.3661545248
961	0.3661246454
962	0.3660893807
963	0.3660305452
964	0.3659491573
965	0.3659146334
966	0.3658716428
967	0.3658352783
968	0.3657872666
969	0.3657314843
970	0.3656747568
971	0.3656316605
972	0.3655698388
973	0.3654909182
974	0.3654474114
975	0.3654072014
976	0.3653733919
977	0.3653383537
978	0.3652901897
979	0.3652382503
980	0.3652046319
981	0.3651525233
982	0.365092578
983	0.3650545898
984	0.3650075515
985	0.3649765535
986	0.3649132525
987	0.3648608279
988	0.3648021964
989	0.3647478345
990	0.3646997696
991	0.3646431017
992	0.3646016059
993	0.3645337862
994	0.3644780234
995	0.3644202849
996	0.3643803435
997	0.3643299227
998	0.3642582189
999	0.3642048913
