iter	RMSE
357	43058.6208
358	43052.5111
359	43046.69282
360	43041.55163
361	43037.11066
362	43033.98496
363	43027.0528
364	43020.32013
365	43010.54365
366	43002.44864
367	42996.50466
368	42992.86979
369	42987.66091
370	42982.53558
371	42979.3299
372	42972.08186
373	42968.72245
374	42966.94489
375	42963.76551
376	42960.00818
377	42955.61887
378	42949.91961
379	42941.52285
380	42932.40359
381	42927.92879
382	42922.55284
383	42917.42811
384	42914.49914
385	42911.47984
386	42908.41504
387	42902.80695
388	42898.13105
389	42895.74074
390	42890.14026
391	42886.29925
392	42880.47715
393	42879.24744
394	42875.00138
395	42871.24505
396	42862.44642
397	42856.99257
398	42854.94119
399	42849.77932
400	42846.61958
401	42840.72918
402	42837.74567
403	42834.63935
404	42831.28487
405	42826.81891
406	42823.21419
407	42815.52655
408	42811.54803
409	42803.01162
410	42797.46895
411	42789.90579
412	42786.25108
413	42778.73002
414	42774.00535
415	42769.69216
416	42764.2946
417	42759.56368
418	42754.8941
419	42749.85287
420	42746.2304
421	42742.82631
422	42736.41219
423	42725.49085
424	42722.64032
425	42720.47789
426	42718.14765
427	42712.40327
428	42709.45576
429	42703.83723
430	42697.06514
431	42693.53345
432	42691.17482
433	42688.58533
434	42684.81155
435	42680.83337
436	42674.24675
437	42670.75538
438	42668.25614
439	42662.94352
440	42656.4491
441	42652.80451
442	42646.38398
443	42644.13494
444	42642.78195
445	42639.14367
446	42634.47387
447	42628.26439
448	42620.73574
449	42616.43699
450	42614.07952
451	42605.52432
452	42602.61355
453	42598.60177
454	42595.06343
455	42588.24729
456	42578.17539
457	42574.87012
458	42572.63819
459	42565.91552
460	42563.37869
461	42561.06911
462	42553.90326
463	42551.13566
464	42546.71469
465	42542.04404
466	42535.74228
467	42532.99794
468	42530.70835
469	42523.78963
470	42516.79343
471	42511.25732
472	42509.35342
473	42504.96934
474	42503.10533
475	42499.53375
476	42493.74324
477	42489.06835
478	42486.97626
479	42479.02317
480	42472.06253
481	42470.69499
482	42468.7515
483	42463.6759
484	42458.51707
485	42453.52581
486	42448.48003
487	42446.24342
488	42442.85097
489	42439.76982
490	42433.44241
491	42427.89043
492	42426.11731
493	42422.2782
494	42418.85426
495	42412.58339
496	42408.79445
497	42405.43466
498	42403.78688
499	42401.68818
